date,rest,website
2023-03-05 11:11:11.850869+01:00,0.82608695652174,95.0
2023-03-05 11:16:12.946682+01:00,0.80869565217391,93.0
2023-03-05 11:21:14.104026+01:00,0.79130434782609,91.0
2023-03-05 11:26:15.307022+01:00,0.76521739130435,88.0
2023-03-05 11:31:16.435138+01:00,0.77391304347826,89.0
2023-03-05 11:36:17.517225+01:00,0.81739130434783,94.0
2023-03-05 11:41:18.578217+01:00,0.79130434782609,91.0
2023-03-05 11:46:19.633948+01:00,0.8,92.0
2023-03-05 11:51:21.023533+01:00,0.77391304347826,89.0
2023-03-05 11:56:22.116575+01:00,0.77391304347826,89.0
2023-03-05 12:01:23.541373+01:00,0.80869565217391,93.0
2023-03-05 12:06:24.853948+01:00,0.81739130434783,94.0
2023-03-05 12:11:26.055937+01:00,0.77391304347826,89.0
2023-03-05 12:16:27.137822+01:00,0.75652173913043,87.0
2023-03-05 12:21:28.408293+01:00,0.7304347826087,84.0
2023-03-05 12:26:29.532579+01:00,0.74782608695652,86.0
2023-03-05 12:31:30.516020+01:00,0.74782608695652,86.0
2023-03-05 12:36:31.776682+01:00,0.67826086956522,78.0
2023-03-05 12:41:32.945991+01:00,0.67826086956522,78.0
2023-03-05 12:46:34.036170+01:00,0.73913043478261,85.0
2023-03-05 12:51:35.160329+01:00,0.74782608695652,86.0
2023-03-05 12:56:36.279846+01:00,0.70434782608696,81.0
2023-03-05 13:01:37.476574+01:00,0.68695652173913,79.0
2023-03-05 13:06:38.701466+01:00,0.66086956521739,76.0
2023-03-05 13:11:39.866249+01:00,0.64347826086957,74.0
2023-03-05 13:16:40.952787+01:00,0.73913043478261,85.0
2023-03-05 13:21:42.268036+01:00,0.73913043478261,85.0
2023-03-05 13:26:43.481184+01:00,0.73913043478261,86.0
2023-03-05 13:31:44.725844+01:00,0.81739130434783,94.0
2023-03-05 13:36:46.199403+01:00,0.85217391304348,98.0
2023-03-05 13:41:47.515115+01:00,0.87826086956522,101.0
2023-03-05 13:46:48.608266+01:00,0.84347826086957,97.0
2023-03-05 13:51:49.741842+01:00,0.83478260869565,96.0
2023-03-05 13:56:50.801923+01:00,0.8,92.0
2023-03-05 14:01:51.886591+01:00,0.75652173913043,87.0
2023-03-05 14:06:52.967968+01:00,0.77391304347826,89.0
2023-03-05 14:11:54.030924+01:00,0.74782608695652,86.0
2023-03-05 14:16:55.091712+01:00,0.76521739130435,88.0
2023-03-05 14:21:56.319984+01:00,0.76521739130435,88.0
2023-03-05 14:26:57.492955+01:00,0.75652173913043,87.0
2023-03-05 14:31:58.628886+01:00,0.79130434782609,91.0
2023-03-05 14:36:59.784457+01:00,0.78260869565217,90.0
2023-03-05 14:42:01.016811+01:00,0.72173913043478,83.0
2023-03-05 14:47:02.140202+01:00,0.64347826086957,74.0
2023-03-05 14:52:03.363202+01:00,0.62608695652174,72.0
2023-03-05 14:57:04.495753+01:00,0.60869565217391,70.0
2023-03-05 15:02:05.624966+01:00,0.61739130434783,71.0
2023-03-05 15:07:06.763467+01:00,0.59130434782609,68.0
2023-03-05 15:12:07.773125+01:00,0.58260869565217,67.0
2023-03-05 15:17:08.840930+01:00,0.53913043478261,62.0
2023-03-05 15:22:10.021113+01:00,0.5304347826087,61.0
2023-03-05 15:27:11.217260+01:00,0.56521739130435,65.0
2023-03-05 15:32:12.555319+01:00,0.57391304347826,66.0
2023-03-05 15:37:13.741747+01:00,0.58260869565217,67.0
2023-03-05 15:42:14.857816+01:00,0.59130434782609,68.0
2023-03-05 15:47:15.918534+01:00,0.58260869565217,67.0
2023-03-05 15:52:16.958587+01:00,0.54782608695652,63.0
2023-03-05 15:57:18.094037+01:00,0.6,69.0
2023-03-05 16:02:19.150030+01:00,0.6,69.0
2023-03-05 16:07:20.345112+01:00,0.60869565217391,70.0
2023-03-05 16:12:21.398333+01:00,0.58260869565217,67.0
2023-03-05 16:17:22.589635+01:00,0.58260869565217,67.0
